,previous_value,target
1701,5.0,11.0
1702,11.0,16.0
1703,16.0,23.0
1704,23.0,36.0
1705,36.0,58.0
1706,58.0,29.0
1707,29.0,20.0
1708,20.0,10.0
1709,10.0,8.0
1710,8.0,3.0
1711,3.0,0.0
1712,0.0,0.0
1713,0.0,2.0
1714,2.0,11.0
1715,11.0,27.0
1716,27.0,47.0
1717,47.0,63.0
1718,63.0,60.0
1719,60.0,39.0
1720,39.0,28.0
1721,28.0,26.0
1722,26.0,22.0
1723,22.0,11.0
1724,11.0,21.0
1725,21.0,40.0
1726,40.0,78.0
1727,78.0,122.0
1728,122.0,103.0
1729,103.0,73.0
1730,73.0,47.0
1731,47.0,35.0
1732,35.0,11.0
1733,11.0,5.0
1734,5.0,16.0
1735,16.0,34.0
1736,34.0,70.0
1737,70.0,81.0
1738,81.0,111.0
1739,111.0,101.0
1740,101.0,73.0
1741,73.0,40.0
1742,40.0,20.0
1743,20.0,16.0
1744,16.0,5.0
1745,5.0,11.0
1746,11.0,22.0
1747,22.0,40.0
1748,40.0,60.0
1749,60.0,80.9
1750,80.9,83.4
1751,83.4,47.7
1752,47.7,47.8
1753,47.8,30.7
1754,30.7,12.2
1755,12.2,9.6
1756,9.6,10.2
1757,10.2,32.4
1758,32.4,47.6
1759,47.6,54.0
1760,54.0,62.9
1761,62.9,85.9
1762,85.9,61.2
1763,61.2,45.1
1764,45.1,36.4
1765,36.4,20.9
1766,20.9,11.4
1767,11.4,37.8
1768,37.8,69.8
1769,69.8,106.1
1770,106.1,100.8
1771,100.8,81.6
1772,81.6,66.5
1773,66.5,34.8
1774,34.8,30.6
1775,30.6,7.0
1776,7.0,19.8
1777,19.8,92.5
1778,92.5,154.4
1779,154.4,125.9
1780,125.9,84.8
1781,84.8,68.1
1782,68.1,38.5
1783,38.5,22.8
1784,22.8,10.2
1785,10.2,24.1
1786,24.1,82.9
1787,82.9,132.0
1788,132.0,130.9
1789,130.9,118.1
1790,118.1,89.9
1791,89.9,66.6
1792,66.6,60.0
1793,60.0,46.9
1794,46.9,41.0
1795,41.0,21.3
1796,21.3,16.0
1797,16.0,6.4
1798,6.4,4.1
1799,4.1,6.8
1800,6.8,14.5
1801,14.5,34.0
1802,34.0,45.0
1803,45.0,43.1
1804,43.1,47.5
1805,47.5,42.2
1806,42.2,28.1
1807,28.1,10.1
1808,10.1,8.1
1809,8.1,2.5
1810,2.5,0.0
1811,0.0,1.4
1812,1.4,5.0
1813,5.0,12.2
1814,12.2,13.9
1815,13.9,35.4
1816,35.4,45.8
1817,45.8,41.1
1818,41.1,30.1
1819,30.1,23.9
1820,23.9,15.6
1821,15.6,6.6
1822,6.6,4.0
1823,4.0,1.8
